Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Human Services Assistant 2,6606,8,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Human Services Assistant 2,6606,9,Strikeable,4356,4851,5169,495,813,12244,52272,62028
Human Services Assistant 2,6606,10,Strikeable,4555,4851,5169,296,614,12735,54660,62028
Human Services Case Manager,6630,1,Strikeable,3790,4425,4943,635,1153,10848,45480,59316
Human Services Case Manager,6630,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Human Services Case Manager,6630,3,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Human Services Case Manager,6630,4,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Human Services Case Manager,6630,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Human Services Case Manager,6630,6,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Human Services Case Manager,6630,7,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Human Services Case Manager,6630,8,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Human Services Case Manager,6630,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Human Services Case Manager,6630,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Human Services Specialist 1,6657,1,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Human Services Specialist 1,6657,2,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Human Services Specialist 1,6657,3,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Human Services Specialist 1,6657,4,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Human Services Specialist 1,6657,5,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Human Services Specialist 1,6657,6,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Human Services Specialist 1,6657,7,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Human Services Specialist 1,6657,8,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Human Services Specialist 1,6657,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Human Services Specialist 1,6657,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Human Services Specialist 2,6658,1,Strikeable,3218,3709,4118,491,900,9437,38616,49416
Human Services Specialist 2,6658,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Human Services Specialist 2,6658,3,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Human Services Specialist 2,6658,4,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Human Services Specialist 2,6658,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Human Services Specialist 2,6658,6,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Human Services Specialist 2,6658,7,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Human Services Specialist 2,6658,8,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Human Services Specialist 2,6658,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Human Services Specialist 2,6658,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Human Services Specialist 3,6659,1,Strikeable,3483,4036,4498,553,1015,10091,41796,53976
Human Services Specialist 3,6659,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Human Services Specialist 3,6659,3,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Human Services Specialist 3,6659,4,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Human Services Specialist 3,6659,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Human Services Specialist 3,6659,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Human Services Specialist 3,6659,7,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Human Services Specialist 3,6659,8,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Human Services Specialist 3,6659,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Human Services Specialist 3,6659,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Human Services Specialist 4,6660,1,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Human Services Specialist 4,6660,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Human Services Specialist 4,6660,3,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Human Services Specialist 4,6660,4,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Human Services Specialist 4,6660,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Human Services Specialist 4,6660,6,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Human Services Specialist 4,6660,7,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Human Services Specialist 4,6660,8,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Human Services Specialist 4,6660,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Human Services Specialist 4,6660,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Incident Response Operations Specialist,4165,1,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Incident Response Operations Specialist,4165,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Incident Response Operations Specialist,4165,3,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Incident Response Operations Specialist,4165,4,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Incident Response Operations Specialist,4165,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Incident Response Operations Specialist,4165,6,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Incident Response Operations Specialist,4165,7,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Incident Response Operations Specialist,4165,8,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Incident Response Operations Specialist,4165,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Incident Response Operations Specialist,4165,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Industrial Hygienist 2,5706,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Industrial Hygienist 2,5706,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Industrial Hygienist 2,5706,3,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Industrial Hygienist 2,5706,4,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Industrial Hygienist 2,5706,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Industrial Hygienist 2,5706,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Industrial Hygienist 2,5706,7,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Industrial Hygienist 2,5706,8,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Industrial Hygienist 2,5706,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Industrial Hygienist 2,5706,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Industrial Hygienist 3,5707,1,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Industrial Hygienist 3,5707,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Industrial Hygienist 3,5707,3,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Industrial Hygienist 3,5707,4,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Industrial Hygienist 3,5707,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Industrial Hygienist 3,5707,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Industrial Hygienist 3,5707,7,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Industrial Hygienist 3,5707,8,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Industrial Hygienist 3,5707,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Industrial Hygienist 3,5707,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Industrial Hygienist 4,5708,1,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Industrial Hygienist 4,5708,2,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Industrial Hygienist 4,5708,3,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Industrial Hygienist 4,5708,4,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Industrial Hygienist 4,5708,5,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Industrial Hygienist 4,5708,6,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Industrial Hygienist 4,5708,7,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Industrial Hygienist 4,5708,8,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Industrial Hygienist 4,5708,9,Strikeable,8870,9897,10545,1027,1675,23377,106440,126540
Industrial Hygienist 4,5708,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Information Systems Specialist 2,1483,1,Strikeable,3790,4425,4943,635,1153,10848,45480,59316
Information Systems Specialist 2,1483,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Information Systems Specialist 2,1483,3,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Information Systems Specialist 2,1483,4,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Information Systems Specialist 2,1483,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Information Systems Specialist 2,1483,6,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Information Systems Specialist 2,1483,7,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Information Systems Specialist 2,1483,8,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Information Systems Specialist 2,1483,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Information Systems Specialist 2,1483,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Information Systems Specialist 3,1483,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Information Systems Specialist 3,1483,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Information Systems Specialist 3,1483,3,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Information Systems Specialist 3,1483,4,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Information Systems Specialist 3,1483,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Information Systems Specialist 3,1483,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 3,1483,7,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 3,1483,8,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 3,1483,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Information Systems Specialist 3,1483,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Information Systems Specialist 4,1484,1,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Information Systems Specialist 4,1484,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Information Systems Specialist 4,1484,3,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Information Systems Specialist 4,1484,4,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Information Systems Specialist 4,1484,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 4,1484,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 4,1484,7,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 4,1484,8,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 4,1484,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Information Systems Specialist 4,1484,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Information Systems Specialist 5,1485,1,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Information Systems Specialist 5,1485,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 5,1485,3,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 5,1485,4,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 5,1485,5,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 5,1485,6,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Information Systems Specialist 5,1485,7,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 5,1485,8,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Information Systems Specialist 5,1485,9,Strikeable,7678,8581,9143,903,1465,20437,92136,109716
Information Systems Specialist 5,1485,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Information Systems Specialist 6,1486,1,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 6,1486,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 6,1486,3,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 6,1486,4,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 6,1486,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Information Systems Specialist 6,1486,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 6,1486,7,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Information Systems Specialist 6,1486,8,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Information Systems Specialist 6,1486,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Information Systems Specialist 6,1486,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Information Systems Specialist 7,1487,1,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 7,1487,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 7,1487,3,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 7,1487,4,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 7,1487,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Information Systems Specialist 7,1487,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 7,1487,7,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Information Systems Specialist 7,1487,8,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Information Systems Specialist 7,1487,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Information Systems Specialist 7,1487,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Information Systems Specialist 8,1488,1,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 8,1488,2,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 8,1488,3,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Information Systems Specialist 8,1488,4,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 8,1488,5,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Information Systems Specialist 8,1488,6,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Information Systems Specialist 8,1488,7,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Information Systems Specialist 8,1488,8,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Information Systems Specialist 8,1488,9,Strikeable,8870,9897,10545,1027,1675,23377,106440,126540
Information Systems Specialist 8,1488,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Institution Registered Nurse,6314,1,Strikeable,6756,7534,8409,778,1653,18163,81072,100908
Institution Registered Nurse,6314,2,Strikeable,7074,7892,8810,818,1736,18947,84888,105720
Institution Registered Nurse,6314,3,Strikeable,7410,8269,9226,859,1816,19776,88920,110712
Institution Registered Nurse,6314,4,Strikeable,7764,8658,9667,894,1903,20649,93168,116004
Institution Registered Nurse,6314,5,Strikeable,8130,9073,10172,943,2042,21552,97560,122064
Institution Registered Nurse,6314,6,Strikeable,8519,9547,10604,1028,2085,22511,102228,127248
Institution Registered Nurse,6314,7,Strikeable,8964,9952,11108,988,2144,23609,107568,133296
Institution Registered Nurse,6314,8,Strikeable,9345,10425,11636,1080,2291,24549,112140,139632
Institution Registered Nurse,6314,9,Strikeable,9789,10921,11636,1132,1847,25644,117468,139632
Institution Registered Nurse,6314,10,Strikeable,10254,10921,11636,667,1382,26791,123048,139632
Insurance Examiner,5748,1,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Insurance Examiner,5748,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Insurance Examiner,5748,3,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Insurance Examiner,5748,4,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Insurance Examiner,5748,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Insurance Examiner,5748,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Insurance Examiner,5748,7,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Insurance Examiner,5748,8,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Insurance Examiner,5748,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Insurance Examiner,5748,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Insurance Examiner Entry,5747,1,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Insurance Examiner Entry,5747,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Insurance Examiner Entry,5747,3,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Insurance Examiner Entry,5747,4,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Insurance Examiner Entry,5747,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Insurance Examiner Entry,5747,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Insurance Examiner Entry,5747,7,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Insurance Examiner Entry,5747,8,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Insurance Examiner Entry,5747,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Insurance Examiner Entry,5747,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Investigator 1,5331,1,Strikeable,3483,4036,4498,553,1015,10091,41796,53976
Investigator 1,5331,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Investigator 1,5331,3,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Investigator 1,5331,4,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Investigator 1,5331,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Investigator 1,5331,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Investigator 1,5331,7,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Investigator 1,5331,8,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Investigator 1,5331,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Investigator 1,5331,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Investigator 2,5333,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Investigator 2,5333,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Investigator 2,5333,3,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Investigator 2,5333,4,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Investigator 2,5333,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Investigator 2,5333,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Investigator 2,5333,7,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Investigator 2,5333,8,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Investigator 2,5333,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Investigator 2,5333,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Investigator 3,5333,1,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Investigator 3,5333,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Investigator 3,5333,3,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Investigator 3,5333,4,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Investigator 3,5333,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Investigator 3,5333,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Investigator 3,5333,7,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Investigator 3,5333,8,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Investigator 3,5333,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Investigator 3,5333,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Investment Analyst 1,1333,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Investment Analyst 1,1333,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Investment Analyst 1,1333,3,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Investment Analyst 1,1333,4,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Investment Analyst 1,1333,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Investment Analyst 1,1333,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Investment Analyst 1,1333,7,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Investment Analyst 1,1333,8,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Investment Analyst 1,1333,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Investment Analyst 1,1333,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Investment Analyst 2,1333,1,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Investment Analyst 2,1333,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Investment Analyst 2,1333,3,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Investment Analyst 2,1333,4,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Investment Analyst 2,1333,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Investment Analyst 2,1333,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Investment Analyst 2,1333,7,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Investment Analyst 2,1333,8,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Investment Analyst 2,1333,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Investment Analyst 2,1333,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Investment Analyst 3,1334,1,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Investment Analyst 3,1334,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Investment Analyst 3,1334,3,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Investment Analyst 3,1334,4,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Investment Analyst 3,1334,5,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Investment Analyst 3,1334,6,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Investment Analyst 3,1334,7,Strikeable,8870,9897,11065,1027,2195,23377,106440,132780
Investment Analyst 3,1334,8,Strikeable,9293,10385,11622,1092,2329,24420,111516,139464
Investment Analyst 3,1334,9,Strikeable,9751,10908,11622,1157,1871,25550,117012,139464
Investment Analyst 3,1334,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,3,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,4,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,7,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,8,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Laboratory Technician 2,6811,1,Strikeable,3218,3709,4118,491,900,9437,38616,49416
Laboratory Technician 2,6811,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Laboratory Technician 2,6811,3,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Laboratory Technician 2,6811,4,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Laboratory Technician 2,6811,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Laboratory Technician 2,6811,6,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Laboratory Technician 2,6811,7,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Laboratory Technician 2,6811,8,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Laboratory Technician 2,6811,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Laboratory Technician 2,6811,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Laborer/Student Worker,4116,1,Strikeable,0,,,,,1500,0,
Laborer/Student Worker,4116,2,Strikeable,0,,,,,1500,0,
Laborer/Student Worker,4116,3,Strikeable,0,,,,,1500,0,
Laborer/Student Worker,4116,4,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Laborer/Student Worker,4116,5,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Laborer/Student Worker,4116,6,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Laborer/Student Worker,4116,7,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Laborer/Student Worker,4116,8,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Laborer/Student Worker,4116,9,Strikeable,3629,4036,4301,407,672,10451,43548,51612
Laborer/Student Worker,4116,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Legal Secretary,110,1,Strikeable,3335,3865,4301,530,966,9726,40020,51612
Legal Secretary,110,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Legal Secretary,110,3,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Legal Secretary,110,4,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Legal Secretary,110,5,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Legal Secretary,110,6,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Legal Secretary,110,7,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Legal Secretary,110,8,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Legal Secretary,110,9,Strikeable,4776,5345,5695,569,919,13280,57312,68340
Legal Secretary,110,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
Librarian,3330,1,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Librarian,3330,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Librarian,3330,3,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Librarian,3330,4,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Librarian,3330,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Librarian,3330,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Librarian,3330,7,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Librarian,3330,8,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Librarian,3330,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Librarian,3330,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Licensed Practical Nurse,6135,1,Strikeable,4131,4621,5172,490,1041,11689,49572,62064
Licensed Practical Nurse,6135,2,Strikeable,4339,4854,5399,515,1060,12202,52068,64788
Licensed Practical Nurse,6135,3,Strikeable,4558,5067,5653,509,1095,12742,54696,67836
Licensed Practical Nurse,6135,4,Strikeable,4758,5306,5959,548,1201,13235,57096,71508
Licensed Practical Nurse,6135,5,Strikeable,4982,5592,6233,610,1251,13788,59784,74796
Licensed Practical Nurse,6135,6,Strikeable,5251,5850,6504,599,1253,14451,63012,78048
