Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Medical Laboratory Technician 2,6831,3,3964,4425,4943,461,979,11277,47568,59316
Medical Review Coordinator,6310,3,7410,8269,9226,859,1816,19776,88920,110712
Mental Health Security Technician,6708,3,3483,3865,4301,382,818,10091,41796,51612
Mental Health Therapist 1,6711,3,3483,3865,4301,382,818,10091,41796,51612
Mental Health Therapist 2,6713,3,3790,4222,4715,432,925,10848,45480,56580
Mental Health Therapy Coordinator,6718,3,3790,4222,4715,432,925,10848,45480,56580
Mental Health Therapy Technician,6710,3,3218,3552,3952,334,734,9437,38616,47424
Microbiologist 1,3779,3,4555,5086,5695,531,1140,12735,54660,68340
Microbiologist 2,3780,3,5019,5598,6245,579,1226,13879,60228,74940
Microbiologist 3,3781,3,5771,6444,7206,673,1435,15734,69252,86472
Motor Carrier Enforcement Officer 1,5857,3,4155,4639,5169,484,1014,11748,49860,62028
Motor Carrier Enforcement Officer 2,5858,3,4776,5345,5964,569,1188,13280,57312,71568
Natural Resource Specialist 1,8501,3,4155,4639,5169,484,1014,11748,49860,62028
Natural Resource Specialist 2,8503,3,4776,5345,5964,569,1188,13280,57312,71568
Natural Resource Specialist 3,8503,3,5503,6146,6866,643,1363,15073,66036,82392
Natural Resource Specialist 4,8504,3,6350,7097,7923,747,1573,17162,76200,95076
Natural Resource Specialist 5,8505,3,6982,7803,8713,821,1731,18721,83784,104556
Nutrition Consultant,5955,3,6051,6763,7562,712,1511,16424,72612,90744
Occupational Safety Specialist 1,5709,3,4356,4851,5420,495,1064,12244,52272,65040
Occupational Safety Specialist 2,5710,3,5503,6146,6866,643,1363,15073,66036,82392
Occupational Safety Specialist 3,5711,3,6051,6763,7562,712,1511,16424,72612,90744
Occupational Therapist,6508,3,6982,7803,8713,821,1731,18721,83784,104556
Office Assistant 1,101,3,0,,,,,1500,0,
Office Assistant 2,103,3,0,,,,,1500,0,
Office Coordinator,801,3,3218,3552,3952,334,734,9437,38616,47424
Office Specialist 1,103,3,3005,3427,3784,422,779,8912,36060,45408
Office Specialist 2,104,3,3218,3552,3952,334,734,9437,38616,47424
Operations & Policy Analyst 1,870,3,4555,5086,5695,531,1140,12735,54660,68340
Operations & Policy Analyst 2,871,3,5503,6146,6866,643,1363,15073,66036,82392
Operations & Policy Analyst 3,873,3,6350,7097,7923,747,1573,17162,76200,95076
Operations & Policy Analyst 4,873,3,6982,7803,8713,821,1731,18721,83784,104556
Painter,4001,3,4356,4851,5420,495,1064,12244,52272,65040
Paralegal,1534,3,5256,5861,6549,605,1293,14464,63072,78588
Park Ranger 1,8434,3,3629,4036,4498,407,869,10451,43548,53976
Park Ranger 2,8435,3,3964,4425,4943,461,979,11277,47568,59316
Park Ranger 3,8436,3,4356,4851,5420,495,1064,12244,52272,65040
Park Ranger Assistant,8433,3,0,,,,,1500,0,
Park Specialist,8445,3,3483,3865,4301,382,818,10091,41796,51612
Parking Services Representative,5550,3,3095,3427,3784,332,689,9134,37140,45408
Parts Specialist 2,783,3,3964,4425,4943,461,979,11277,47568,59316
Payroll Analyst,314,3,4155,4639,5169,484,1014,11748,49860,62028
Pharmacist,6360,3,9751,10908,12187,1157,2436,25550,117012,146244
Pharmacist 2,6363,3,10740,11999,13419,1259,2679,27989,128880,161028
Pharmacist Resident,6361,3,4555,5086,5695,531,1140,12735,54660,68340
Pharmacy Clerk & Technician 2,6388,3,3335,3709,4118,374,783,9726,40020,49416
Pharmacy Clerk & Technician 3,6389,3,3483,3865,4301,382,818,10091,41796,51612
Physical Therapist,6503,3,6664,7436,8314,772,1650,17936,79968,99768
Physical/Electronic Security Technician,4037,3,3964,4425,4943,461,979,11277,47568,59316
Physical/Electronic Security Technician 3,4039,3,4776,5345,5964,569,1188,13280,57312,71568
Physician's Assistant,6357,3,7327,8177,9143,850,1816,19571,87924,109716
Planner 2,1097,3,5503,6146,6866,643,1363,15073,66036,82392
Plumber,4005,3,4776,5345,5964,569,1188,13280,57312,71568
Preadmissions Screening Specialist,6684,3,4776,5345,5964,569,1188,13280,57312,71568
Print Services Technician,3446,3,3335,3709,4118,374,783,9726,40020,49416
Printing Production Coordinator,3475,3,4555,5086,5695,531,1140,12735,54660,68340
Procurement & Contract Specialist 1,436,3,4555,5086,5695,531,1140,12735,54660,68340
Procurement & Contract Specialist 2,437,3,5503,6146,6866,643,1363,15073,66036,82392
Procurement & Contract Specialist 3,438,3,6051,6763,7562,712,1511,16424,72612,90744
Procurement And Contract Assistant,435,3,3790,4222,4715,432,925,10848,45480,56580
Program Analyst 1,860,3,4555,5086,5695,531,1140,12735,54660,68340
Program Analyst 2,861,3,5503,6146,6866,643,1363,15073,66036,82392
Program Analyst 3,863,3,6051,6763,7562,712,1511,16424,72612,90744
Program Analyst 4,863,3,6664,7436,8314,772,1650,17936,79968,99768
Project Manager 1,854,3,5503,6146,6866,643,1363,15073,66036,82392
Project Manager 2,855,3,6350,7097,7923,747,1573,17162,76200,95076
Project Manager 3,856,3,6982,7803,8713,821,1731,18721,83784,104556
Psychiatric Social Worker,6730,3,6051,6763,7562,712,1511,16424,72612,90744
Public Affairs Specialist 1,864,3,5019,5598,6245,579,1226,13879,60228,74940
Public Affairs Specialist 2,865,3,6051,6763,7562,712,1511,16424,72612,90744
Public Affairs Specialist 3,866,3,6664,7436,8314,772,1650,17936,79968,99768
Public Health Educator 1,3337,3,4776,5345,5964,569,1188,13280,57312,71568
Public Health Educator 2,3338,3,5256,5861,6549,605,1293,14464,63072,78588
Public Health Nurse 2,6339,3,7410,8269,9226,859,1816,19776,88920,110712
Public Health Toxicologist 1,3433,3,6051,6763,7562,712,1511,16424,72612,90744
Public Service Representative 2,333,3,3005,3427,3784,422,779,8912,36060,45408
Public Service Representative 3,333,3,3218,3552,3952,334,734,9437,38616,47424
Public Service Representative 4,334,3,3964,4425,4943,461,979,11277,47568,59316
Radiologic Technologist,6348,3,5019,5598,6245,579,1226,13879,60228,74940
Rehabilitation Instructor For The Blind,3333,3,4555,5086,5695,531,1140,12735,54660,68340
Rehabilitation Instructor For The Blind (Entry),3333,3,4155,4639,5169,484,1014,11748,49860,62028
Rehabilitation Therapist,6531,3,4776,5345,5964,569,1188,13280,57312,71568
Research Analyst 1,1115,3,3790,4222,4715,432,925,10848,45480,56580
Research Analyst 2,1116,3,4555,5086,5695,531,1140,12735,54660,68340
Research Analyst 3,1117,3,5256,5861,6549,605,1293,14464,63072,78588
Research Analyst 4,1118,3,6350,7097,7923,747,1573,17162,76200,95076
Retirement Counselor 1,841,3,3964,4425,4943,461,979,11277,47568,59316
Retirement Counselor 2,843,3,4356,4851,5420,495,1064,12244,52272,65040
Revenue Agent 1,5110,3,3483,3865,4301,382,818,10091,41796,51612
Revenue Agent 2,5111,3,3790,4222,4715,432,925,10848,45480,56580
Revenue Agent 3,5113,3,4155,4639,5169,484,1014,11748,49860,62028
Safety Specialist 1,1345,3,4555,5086,5695,531,1140,12735,54660,68340
Safety Specialist 2,1346,3,5503,6146,6866,643,1363,15073,66036,82392
Scientific Instrument Technician,4339,3,4155,4639,5169,484,1014,11748,49860,62028
Seamster,9301,3,3218,3552,3952,334,734,9437,38616,47424
Securities Examiner,5671,3,6350,7097,7923,747,1573,17162,76200,95076
Shipping Point Inspector 1,5450,3,3218,3552,3952,334,734,9437,38616,47424
Shipping Point Inspector 2,5451,3,3483,3865,4301,382,818,10091,41796,51612
Sign Technician 1,4131,3,3790,4222,4715,432,925,10848,45480,56580
Social Service Assistant,6609,3,3483,3865,4301,382,818,10091,41796,51612
Social Service Specialist 1,6613,3,5019,5598,6245,579,1226,13879,60228,74940
Social Services Specialist 2,6613,3,5503,6146,6866,643,1363,15073,66036,82392
State Library Specialist 1,351,3,0,,,,,1500,0,
State Library Specialist 2,353,3,3629,4036,4498,407,869,10451,43548,53976
State Procurement Analyst,770,3,6350,7097,7923,747,1573,17162,76200,95076
Student Office Worker,100,3,0,4301,4301,4301,4301,1500,0,51612
Supply Specialist 1,758,3,3095,3427,3784,332,689,9134,37140,45408
Supply Specialist 2,759,3,3964,4425,4943,461,979,11277,47568,59316
Tax Auditor 1,5631,3,5019,5598,6245,579,1226,13879,60228,74940
Tax Auditor 2,5633,3,5771,6444,7206,673,1435,15734,69252,86472
Tax Auditor/Entry,5630,3,3964,4425,4943,461,979,11277,47568,59316
Teaching Assistant,3303,3,3218,3552,3952,334,734,9437,38616,47424
Traffic Survey Interviewer,1105,3,0,,,,,1500,0,
Training & Development Specialist 1,1338,3,4555,5086,5695,531,1140,12735,54660,68340
Training & Development Specialist 2,1339,3,5503,6146,6866,643,1363,15073,66036,82392
Transportation Maintenance Coordinator 1,4161,3,4155,4639,5169,484,1014,11748,49860,62028
Transportation Maintenance Coordinator 2,4163,3,4356,4851,5420,495,1064,12244,52272,65040
Transportation Maintenance Specialist 1,4151,3,3483,3865,4301,382,818,10091,41796,51612
Transportation Maintenance Specialist 2,4153,3,3790,4222,4715,432,925,10848,45480,56580
Transportation Maintenance Specialist Entry,4150,3,0,,,,,1500,0,
Transportation Services Office Leader,333,3,4155,4639,5169,484,1014,11748,49860,62028
Transportation Services Representative 1,331,3,3483,3865,4301,382,818,10091,41796,51612
Transportation Services Representative 2,333,3,3790,4222,4715,432,925,10848,45480,56580
Transportation Telecommunications Specialist 1,4166,3,3964,4425,4943,461,979,11277,47568,59316
Transportation Telecommunications Specialist 2,4167,3,4356,4851,5420,495,1064,12244,52272,65040
Transporter,4403,3,0,,,,,1500,0,
Transporting Mental Health Aide,6101,3,3483,3865,4301,382,818,10091,41796,51612
Truck Driver 1,4401,3,3483,3865,4301,382,818,10091,41796,51612
Truck Driver 2,4403,3,3964,4425,4943,461,979,11277,47568,59316
Veterans Service Officer,799,3,4555,5086,5695,531,1140,12735,54660,68340
Veterans Trust Officer,784,3,4555,5086,5695,531,1140,12735,54660,68340
Video Producer,3176,3,5771,6444,7206,673,1435,15734,69252,86472
Vocational Rehabilitation Counselor,6647,3,5019,5598,6245,579,1226,13879,60228,74940
Vocational Rehabilitation Counselor Entry,6646,3,3964,4425,4943,461,979,11277,47568,59316
Vocational Rehabilitation Specialist,6648,3,5256,5861,6549,605,1293,14464,63072,78588
Water Resource Data Technician 1,8510,3,3790,4222,4715,432,925,10848,45480,56580
Water Resource Data Technician 2,8511,3,4155,4639,5169,484,1014,11748,49860,62028
Wildland Fire Dispatcher,8364,3,3218,3552,3952,334,734,9437,38616,47424
Wildland Fire Dispatcher Entry,8363,3,0,,,,,1500,0,
Wildland Fire Suppression Specialist,8355,3,3483,3865,4301,382,818,10091,41796,51612
Wildland Fire Suppression Specialist Entry,8354,3,3005,3296,3652,291,647,8912,36060,43824
Word Processing Technician 2,531,3,3095,3427,3784,332,689,9134,37140,45408
Word Processing Technician 3,533,3,3335,3709,4118,374,783,9726,40020,49416
Youth Corrections Unit Coordinator,6755,3,4555,5086,5695,531,1140,12735,54660,68340
Accountant 1,1316,4,4776,5345,5964,569,1188,13280,57312,71568
Accountant 2,1317,4,5771,6444,7206,673,1435,15734,69252,86472
Accountant 3,1318,4,6664,7436,8314,772,1650,17936,79968,99768
Accounting Technician,313,4,3964,4425,4943,461,979,11277,47568,59316
Activities Coordinator,6530,4,3964,4425,4943,461,979,11277,47568,59316
Administrative Law Judge 1,1510,4,6664,7436,8314,772,1650,17936,79968,99768
Administrative Law Judge 2,1511,4,7678,8581,9589,903,1911,20437,92136,115068
Administrative Law Judge 3,1513,4,9293,10385,11622,1092,2329,24420,111516,139464
Administrative Specialist 1,107,4,3629,4036,4498,407,869,10451,43548,53976
Administrative Specialist 2,108,4,4155,4639,5169,484,1014,11748,49860,62028
Adult Protective Service Specialist,6616,4,5256,5861,6549,605,1293,14464,63072,78588
Aerial Photographer,3540,4,5019,5598,6245,579,1226,13879,60228,74940
Aircraft Pilot,8333,4,5771,6444,7206,673,1435,15734,69252,86472
Appraiser Analyst 1,735,4,3790,4222,4715,432,925,10848,45480,56580
Appraiser Analyst 2,736,4,5256,5861,6549,605,1293,14464,63072,78588
Appraiser Analyst 3,737,4,6051,6763,7562,712,1511,16424,72612,90744
Appraiser Analyst 4,738,4,6982,7803,8713,821,1731,18721,83784,104556
Apprenticeship Representative,4380,4,4776,5345,5964,569,1188,13280,57312,71568
Automotive Fleet Attendant,4417,4,3218,3552,3952,334,734,9437,38616,47424
Automotive Technician 1,4418,4,3964,4425,4943,461,979,11277,47568,59316
Automotive Technician 2,4419,4,4776,5345,5964,569,1188,13280,57312,71568
Behavioral Health Specialist 1,6531,4,5019,5598,6245,579,1226,13879,60228,74940
Behavioral Health Specialist 2,6534,4,5771,6444,7206,673,1435,15734,69252,86472
Behavioral Health Specialist 3,6535,4,6350,7097,7923,747,1573,17162,76200,95076
Biological Science Assistant,3769,4,3005,3427,3784,422,779,8912,36060,45408
Business & Employment Specialist 2,6699,4,4356,4851,5420,495,1064,12244,52272,65040
Carpenter,4003,4,4555,5086,5695,531,1140,12735,54660,68340
Certified Occupation Therapist Assistant,6506,4,4155,4639,5169,484,1014,11748,49860,62028
Chaplain,6680,4,5019,5598,6245,579,1226,13879,60228,74940
Chemist 1,3715,4,5019,5598,6245,579,1226,13879,60228,74940
Chemist 2,3716,4,5503,6146,6866,643,1363,15073,66036,82392
Chemist 3,3717,4,6350,7097,7923,747,1573,17162,76200,95076
Child Nutrition Specialist,5950,4,6051,6763,7562,712,1511,16424,72612,90744
Child Support Case Manager,5139,4,4356,4851,5420,495,1064,12244,52272,65040
Child Support Case Manager Entry,5138,4,3964,4425,4943,461,979,11277,47568,59316
Child Support Specialist,5133,4,4776,5345,5964,569,1188,13280,57312,71568
Civil Engineering Specialist 1,3136,4,5256,5861,6549,605,1293,14464,63072,78588
Civil Rights Investigator 1,5340,4,4356,4851,5420,495,1064,12244,52272,65040
Civil Rights Investigator 2,5341,4,5503,6146,6866,643,1363,15073,66036,82392
Claims Representative 1,5307,4,4555,5086,5695,531,1140,12735,54660,68340
Claims Representative 2,5308,4,5019,5598,6245,579,1226,13879,60228,74940
Client Care Surveyor,6685,4,6051,6763,7562,712,1511,16424,72612,90744
Clinical Laboratory Scientist,6833,4,5019,5598,6245,579,1226,13879,60228,74940
Clinical Psychologist 1,6394,4,7678,8581,9589,903,1911,20437,92136,115068
Clinical Psychologist 2,6395,4,8450,9447,10545,997,2095,22341,101400,126540
Communicable Disease Analyst,5903,4,4555,5086,5695,531,1140,12735,54660,68340
Community Outreach Specialist,6614,4,5503,6146,6866,643,1363,15073,66036,82392
Compliance Specialist 1,5346,4,4356,4851,5420,495,1064,12244,52272,65040
Compliance Specialist 2,5347,4,5256,5861,6549,605,1293,14464,63072,78588
Compliance Specialist 3,5348,4,6350,7097,7923,747,1573,17162,76200,95076
Construction Inspector,3365,4,5771,6444,7206,673,1435,15734,69252,86472
Construction Project Manager 1,3367,4,5771,6444,7206,673,1435,15734,69252,86472
Construction Project Manager 2,3368,4,6664,7436,8314,772,1650,17936,79968,99768
Construction Project Manager 3,3369,4,7678,8581,9589,903,1911,20437,92136,115068
Cook,9117,4,3629,4036,4498,407,869,10451,43548,53976
Custodial Services Coordinator,4103,4,3095,3427,3784,332,689,9134,37140,45408
Custodian,4101,4,0,,,,,1500,0,
Data Entry Control Technician,1475,4,3005,3427,3784,422,779,8912,36060,45408
Data Entry Operator,501,4,3005,3427,3784,422,779,8912,36060,45408
Dental Assistant 2,6394,4,4155,4639,5169,484,1014,11748,49860,62028
Dental Hygienist,6396,4,6350,7097,7923,747,1573,17162,76200,95076
Dietitian 2,6371,4,5503,6146,6866,643,1363,15073,66036,82392
Disability Analyst 1,5936,4,4776,5345,5964,569,1188,13280,57312,71568
Disability Analyst 2,5937,4,5256,5861,6549,605,1293,14464,63072,78588
District Veterinarian,6440,4,6350,7097,7923,747,1573,17162,76200,95076
DOJ Claims Examiner,5933,4,4555,5086,5695,531,1140,12735,54660,68340
Dormitory Counselor 1,6767,4,3483,3865,4301,382,818,10091,41796,51612
Dormitory Counselor 2,6768,4,4155,4639,5169,484,1014,11748,49860,62028
Economist 1,1161,4,4776,5345,5964,569,1188,13280,57312,71568
Economist 2,1163,4,5771,6444,7206,673,1435,15734,69252,86472
Economist 3,1163,4,6664,7436,8314,772,1650,17936,79968,99768
Economist 4,1164,4,7678,8581,9589,903,1911,20437,92136,115068
Education Program Specialist 1,3300,4,6664,7436,8314,772,1650,17936,79968,99768
Education Program Specialist 2,3301,4,7678,8581,9589,903,1911,20437,92136,115068
Electrician 2,4008,4,5503,6146,6866,643,1363,15073,66036,82392
Electrician 3,4009,4,6051,6763,7562,712,1511,16424,72612,90744
Electronic Publishing Design Specialist 1,3510,4,3629,4036,4498,407,869,10451,43548,53976
Electronic Publishing Design Specialist 2,3511,4,4555,5086,5695,531,1140,12735,54660,68340
Electronic Publishing Design Specialist 3,3513,4,5019,5598,6245,579,1226,13879,60228,74940
Electronic Security Technician 2,4051,4,5503,6146,6866,643,1363,15073,66036,82392
Employment Adjudicator,6693,4,4776,5345,5964,569,1188,13280,57312,71568
Employment Appeals Board Legal Staff,1543,4,6350,7097,7923,747,1573,17162,76200,95076
Engineering Technician 2,3110,4,3964,4425,4943,461,979,11277,47568,59316
Engineering Technician 3,3111,4,4356,4851,5420,495,1064,12244,52272,65040
Environmental Engineer 2,3411,4,6664,7436,8314,772,1650,17936,79968,99768
Environmental Engineer 3,3413,4,7678,8581,9589,903,1911,20437,92136,115068
Environmental Health Specialist 3,3819,4,6051,6763,7562,712,1511,16424,72612,90744
Epidemiologist 1,6316,4,5771,6444,7206,673,1435,15734,69252,86472
Epidemiologist 2,6317,4,6664,7436,8314,772,1650,17936,79968,99768
Epidemiologist 3,6318,4,7327,8177,9143,850,1816,19571,87924,109716
Equipment Operator,4433,4,4356,4851,5420,495,1064,12244,52272,65040
Executive Assistant,830,4,5256,5861,6549,605,1293,14464,63072,78588
Executive Support Specialist 1,118,4,3629,4036,4498,407,869,10451,43548,53976
Executive Support Specialist 2,119,4,4155,4639,5169,484,1014,11748,49860,62028
Facilities Engineer 1,3351,4,5771,6444,7206,673,1435,15734,69252,86472
Facilities Engineer 3,3353,4,7678,8581,9589,903,1911,20437,92136,115068
Facility Energy Technician 2,4033,4,4555,5086,5695,531,1140,12735,54660,68340
Facility Energy Technician 3,4034,4,5503,6146,6866,643,1363,15073,66036,82392
Facility Energy Technician 4,4035,4,6350,7097,7923,747,1573,17162,76200,95076
Facility Maintenance Specialist,4013,4,3790,4222,4715,432,925,10848,45480,56580
Facility Operations Specialist 1,4014,4,5019,5598,6245,579,1226,13879,60228,74940
Facility Operations Specialist 2,4015,4,5503,6146,6866,643,1363,15073,66036,82392
Financial Enforcement Officer,1547,4,7327,8177,9143,850,1816,19571,87924,109716
Financial Examiner 1,5675,4,5019,5598,6245,579,1226,13879,60228,74940
Financial Examiner 2,5676,4,5771,6444,7206,673,1435,15734,69252,86472
Financial Examiner 3,5677,4,6664,7436,8314,772,1650,17936,79968,99768
Financial Investigator 1,5335,4,5503,6146,6866,643,1363,15073,66036,82392
Fiscal Analyst 1,1343,4,4776,5345,5964,569,1188,13280,57312,71568
Fiscal Analyst 2,1344,4,5771,6444,7206,673,1435,15734,69252,86472
Fiscal Analyst 3,1345,4,6664,7436,8314,772,1650,17936,79968,99768
Fiscal Auditor 1,5641,4,4776,5345,5964,569,1188,13280,57312,71568
Fish and Wildlife Technical Coordinator,8346,4,4356,4851,5420,495,1064,12244,52272,65040
Fish and Wildlife Technician,8341,4,3629,4036,4498,407,869,10451,43548,53976
Fish and Wildlife Technician Entry,8340,4,3095,3427,3784,332,689,9134,37140,45408
Fish and Wildlife Technician Senior,8343,4,3964,4425,4943,461,979,11277,47568,59316
Food Service Worker,9103,4,3095,3552,3952,457,857,9134,37140,47424
Forest Crew Coordinator,8318,4,3964,4425,4943,461,979,11277,47568,59316
Forest Lookout,8353,4,0,,,,,1500,0,
Forest Management Technician,8311,4,3483,3865,4301,382,818,10091,41796,51612
Forest Officer,8357,4,4776,5345,5964,569,1188,13280,57312,71568
Geologist 2,3531,4,5503,6146,6866,643,1363,15073,66036,82392
Governmental Auditor 1,5646,4,5019,5598,6245,579,1226,13879,60228,74940
Governmental Auditor 2,5647,4,5503,6146,6866,643,1363,15073,66036,82392
Governmental Auditor 3,5648,4,6350,7097,7923,747,1573,17162,76200,95076
Grounds Maintenance Worker 1,4109,4,3218,3552,3952,334,734,9437,38616,47424
Grounds Maintenance Worker 2,4110,4,3629,4036,4498,407,869,10451,43548,53976
Group Life Coordinator 1,6750,4,3335,3709,4118,374,783,9726,40020,49416
Group Life Coordinator 2,6751,4,3964,4425,4943,461,979,11277,47568,59316
Hairdresser,9300,4,0,,,,,1500,0,
Health Care Investigator/Advisor,5911,4,5503,6146,6866,643,1363,15073,66036,82392
Health Information Specialist,15,4,3790,4222,4715,432,925,10848,45480,56580
Heavy Equipment Technician 1,4437,4,0,,,,,1500,0,
Heavy Equipment Technician 2,4438,4,0,,,,,1500,0,
Human Services Assistant 2,6606,4,3483,3865,4301,382,818,10091,41796,51612
Human Services Case Manager,6630,4,4356,4851,5420,495,1064,12244,52272,65040
Human Services Specialist 1,6657,4,3335,3709,4118,374,783,9726,40020,49416
Human Services Specialist 2,6658,4,3629,4036,4498,407,869,10451,43548,53976
Human Services Specialist 3,6659,4,3964,4425,4943,461,979,11277,47568,59316
Human Services Specialist 4,6660,4,4555,5086,5695,531,1140,12735,54660,68340
Incident Response Operations Specialist,4165,4,4155,4639,5169,484,1014,11748,49860,62028
Industrial Hygienist 2,5706,4,5771,6444,7206,673,1435,15734,69252,86472
Industrial Hygienist 3,5707,4,6350,7097,7923,747,1573,17162,76200,95076
Industrial Hygienist 4,5708,4,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 2,1483,4,4356,4851,5420,495,1064,12244,52272,65040
Information Systems Specialist 3,1483,4,5019,5598,6245,579,1226,13879,60228,74940
Information Systems Specialist 4,1484,4,5256,5861,6549,605,1293,14464,63072,78588
Information Systems Specialist 5,1485,4,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 6,1486,4,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 7,1487,4,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 8,1488,4,6982,7803,8713,821,1731,18721,83784,104556
Institution Registered Nurse,6314,4,7764,8658,9667,894,1903,20649,93168,116004
Insurance Examiner,5748,4,6664,7436,8314,772,1650,17936,79968,99768
Insurance Examiner Entry,5747,4,5503,6146,6866,643,1363,15073,66036,82392
Investigator 1,5331,4,3964,4425,4943,461,979,11277,47568,59316
Investigator 2,5333,4,4776,5345,5964,569,1188,13280,57312,71568
Investigator 3,5333,4,5503,6146,6866,643,1363,15073,66036,82392
Investment Analyst 1,1333,4,5771,6444,7206,673,1435,15734,69252,86472
Investment Analyst 2,1333,4,6664,7436,8314,772,1650,17936,79968,99768
Investment Analyst 3,1334,4,7678,8581,9589,903,1911,20437,92136,115068
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,4,5019,5598,6245,579,1226,13879,60228,74940
Laboratory Technician 2,6811,4,3629,4036,4498,407,869,10451,43548,53976
Laborer/Student Worker,4116,4,3005,3427,3784,422,779,8912,36060,45408
Legal Secretary,110,4,3790,4222,4715,432,925,10848,45480,56580
Librarian,3330,4,5503,6146,6866,643,1363,15073,66036,82392
Licensed Practical Nurse,6135,4,4758,5306,5959,548,1201,13235,57096,71508
Livestock Brand Inspector,5430,4,3335,3709,4118,374,783,9726,40020,49416
Loan Specialist 1,1001,4,4776,5345,5964,569,1188,13280,57312,71568
Loan Specialist 2,1003,4,5771,6444,7206,673,1435,15734,69252,86472
Loan Specialist 3,1003,4,6664,7436,8314,772,1650,17936,79968,99768
Machinist,4018,4,5503,6146,6866,643,1363,15073,66036,82392
Mail Delivery Driver,4404,4,3335,3709,4118,374,783,9726,40020,49416
Mail Equipment Operator 1,403,4,3005,3427,3784,422,779,8912,36060,45408
Mail Equipment Operator 2,404,4,3335,3709,4118,374,783,9726,40020,49416
Mail Services Assistant,405,4,3095,3427,3784,332,689,9134,37140,45408
Manual Arts Instructor,3304,4,3629,4036,4498,407,869,10451,43548,53976
Medical Consultant,7538,4,10242,11438,12785,1196,2543,26761,122904,153420
Medical Laboratory Technician 1,6830,4,3790,4222,4715,432,925,10848,45480,56580
Medical Laboratory Technician 2,6831,4,4155,4639,5169,484,1014,11748,49860,62028
Medical Review Coordinator,6310,4,7764,8658,9667,894,1903,20649,93168,116004
Mental Health Security Technician,6708,4,3629,4036,4498,407,869,10451,43548,53976
Mental Health Therapist 1,6711,4,3629,4036,4498,407,869,10451,43548,53976
Mental Health Therapist 2,6713,4,3964,4425,4943,461,979,11277,47568,59316
Mental Health Therapy Coordinator,6718,4,3964,4425,4943,461,979,11277,47568,59316
Mental Health Therapy Technician,6710,4,3335,3709,4118,374,783,9726,40020,49416
Microbiologist 1,3779,4,4776,5345,5964,569,1188,13280,57312,71568
Microbiologist 2,3780,4,5256,5861,6549,605,1293,14464,63072,78588
Microbiologist 3,3781,4,6051,6763,7562,712,1511,16424,72612,90744
Motor Carrier Enforcement Officer 1,5857,4,4356,4851,5420,495,1064,12244,52272,65040
Motor Carrier Enforcement Officer 2,5858,4,5019,5598,6245,579,1226,13879,60228,74940
Natural Resource Specialist 1,8501,4,4356,4851,5420,495,1064,12244,52272,65040
Natural Resource Specialist 2,8503,4,5019,5598,6245,579,1226,13879,60228,74940
Natural Resource Specialist 3,8503,4,5771,6444,7206,673,1435,15734,69252,86472
Natural Resource Specialist 4,8504,4,6664,7436,8314,772,1650,17936,79968,99768
Natural Resource Specialist 5,8505,4,7327,8177,9143,850,1816,19571,87924,109716
Nutrition Consultant,5955,4,6350,7097,7923,747,1573,17162,76200,95076
Occupational Safety Specialist 1,5709,4,4555,5086,5695,531,1140,12735,54660,68340
Occupational Safety Specialist 2,5710,4,5771,6444,7206,673,1435,15734,69252,86472
Occupational Safety Specialist 3,5711,4,6350,7097,7923,747,1573,17162,76200,95076
Occupational Therapist,6508,4,7327,8177,9143,850,1816,19571,87924,109716
Office Assistant 1,101,4,0,,,,,1500,0,
Office Assistant 2,103,4,0,,,,,1500,0,
Office Coordinator,801,4,3335,3709,4118,374,783,9726,40020,49416
Office Specialist 1,103,4,3095,3427,3784,332,689,9134,37140,45408
Office Specialist 2,104,4,3335,3709,4118,374,783,9726,40020,49416
Operations & Policy Analyst 1,870,4,4776,5345,5964,569,1188,13280,57312,71568
Operations & Policy Analyst 2,871,4,5771,6444,7206,673,1435,15734,69252,86472
Operations & Policy Analyst 3,873,4,6664,7436,8314,772,1650,17936,79968,99768
Operations & Policy Analyst 4,873,4,7327,8177,9143,850,1816,19571,87924,109716
Painter,4001,4,4555,5086,5695,531,1140,12735,54660,68340
Paralegal,1534,4,5503,6146,6866,643,1363,15073,66036,82392
Park Ranger 1,8434,4,3790,4222,4715,432,925,10848,45480,56580
Park Ranger 2,8435,4,4155,4639,5169,484,1014,11748,49860,62028
Park Ranger 3,8436,4,4555,5086,5695,531,1140,12735,54660,68340
Park Ranger Assistant,8433,4,3005,3427,3784,422,779,8912,36060,45408
Park Specialist,8445,4,3629,4036,4498,407,869,10451,43548,53976
Parking Services Representative,5550,4,3218,3552,3952,334,734,9437,38616,47424
Parts Specialist 2,783,4,4155,4639,5169,484,1014,11748,49860,62028
Payroll Analyst,314,4,4356,4851,5420,495,1064,12244,52272,65040
Pharmacist,6360,4,10242,11438,12785,1196,2543,26761,122904,153420
Pharmacist 2,6363,4,11267,12594,14080,1327,2813,29289,135204,168960
