Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Dental Hygienist,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Disability Analyst 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
District Veterinarian,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
DOJ Claims Examiner,,2,Non-Strikeable,4547,5075.79,5666.978955,529,1120,54564,68004
Dormitory Counselor 1,,2,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Dormitory Counselor 2,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Economist 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Electronic Publishing Design Specialist 1,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Employment Adjudicator,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Employment Appeals Board Legal Staff,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Engineering Technician 2,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Engineering Technician 3,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Equipment Operator,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Executive Support Specialist 1,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Executive Support Specialist 2,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Facility Energy Technician 4,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Fiscal Analyst 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Fiscal Auditor 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Fish and Wildlife Technical Coordinator,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Fish and Wildlife Technician,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Fish and Wildlife Technician Entry,,2,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Fish and Wildlife Technician Senior,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Food Service Worker,,2,Non-Strikeable,3114,3550.71,3533.634855,437,420,37368,42404
Forest Crew Coordinator,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Forest Lookout,,2,Non-Strikeable,0,,0,,0,0,0
Forest Management Technician,,2,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Forest Officer,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Governmental Auditor 3,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Grounds Maintenance Worker 1,,2,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Grounds Maintenance Worker 2,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Group Life Coordinator 1,,2,Non-Strikeable,3334,3838.26,3783.281505,504,449,40008,45399
Group Life Coordinator 2,,2,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Human Services Assistant 2,,2,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Human Services Case Manager,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Human Services Specialist 1,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Human Services Specialist 2,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Human Services Specialist 3,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Incident Response Operations Specialist,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Industrial Hygienist 3,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Investigator 1,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Investigator 2,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Laboratory Technician 2,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Laborer/Student Worker,,2,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Licensed Practical Nurse,,2,Non-Strikeable,4330,4829.775,4913.499975,500,583,51960,58962
Livestock Brand Inspector,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Loan Specialist 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Mail Delivery Driver,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Mail Equipment Operator 1,,2,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Mail Equipment Operator 2,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Mail Services Assistant,,2,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Manual Arts Instructor,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Medical Laboratory Technician 2,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Mental Health Security Technician,,2,Non-Strikeable,3604,4216.335,4089.66603,612,486,43248,49076
Mental Health Therapist 1,,2,Non-Strikeable,3604,4216.335,4089.66603,612,486,43248,49076
Mental Health Therapist 2,,2,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Mental Health Therapy Coordinator,,2,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Mental Health Therapy Technician,,2,Non-Strikeable,3334,3838.26,3783.281505,504,449,40008,45399
Microbiologist 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Motor Carrier Enforcement Officer 1,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Nutrition Consultant,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Occupational Safety Specialist 3,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Office Coordinator,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Office Specialist 1,,2,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Office Specialist 2,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Operations & Policy Analyst 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Park Ranger 2,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Park Ranger Assistant,,2,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Park Specialist,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Parking Services Representative,,2,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Parts Specialist 2,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Payroll Analyst,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Pharmacist Resident,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Pharmacy Clerk & Technician 2,,2,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Pharmacy Clerk & Technician 3,,2,Non-Strikeable,3604,4216.335,4089.66603,612,486,43248,49076
Physical/Electronic Security Technician,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Print Services Technician,,2,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Printing Production Coordinator,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Procurement & Contract Specialist 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Procurement & Contract Specialist 3,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Procurement And Contract Assistant,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Program Analyst 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Program Analyst 3,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Psychiatric Social Worker,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Public Affairs Specialist 2,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Public Health Toxicologist 1,,2,Non-Strikeable,6205,6927.825,7041.170288,723,836,74460,84494
Public Service Representative 2,,2,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Public Service Representative 3,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Public Service Representative 4,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Rehabilitation Instructor For The Blind,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Rehabilitation Instructor For The Blind (Entry),,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Research Analyst 1,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Research Analyst 2,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Retirement Counselor 1,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Revenue Agent 1,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Revenue Agent 2,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Revenue Agent 3,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Safety Specialist 1,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Scientific Instrument Technician,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Seamster,,2,Non-Strikeable,3334,3838.26,3783.281505,504,449,40008,45399
Shipping Point Inspector 1,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Shipping Point Inspector 2,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Sign Technician 1,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Social Service Assistant,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
State Library Specialist 1,,2,Non-Strikeable,3009,3316.41,3414.485318,307,405,36108,40974
Supply Specialist 1,,2,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Supply Specialist 2,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Tax Auditor/Entry,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Teaching Assistant,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Training & Development Specialist 1,,2,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 1,,2,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 2,,2,Non-Strikeable,3959,4618.905,5159.742353,660,1201,47508,61917
Transportation Services Office Leader,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Transportation Services Representative 1,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Transportation Services Representative 2,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Transportation Telecommunications Specialist 1,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Transporting Mental Health Aide,,2,Non-Strikeable,3604,4216.335,4089.66603,612,486,43248,49076
Truck Driver 1,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Truck Driver 2,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Veterans Service Officer,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Veterans Trust Officer,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Vocational Rehabilitation Counselor Entry,,2,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Water Resource Data Technician 1,,2,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Water Resource Data Technician 2,,2,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Wildland Fire Dispatcher,,2,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Wildland Fire Dispatcher Entry,,2,Non-Strikeable,0,,0,,0,0,0
Wildland Fire Suppression Specialist,,2,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Wildland Fire Suppression Specialist Entry,,2,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Word Processing Technician 2,,2,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Word Processing Technician 3,,2,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Youth Corrections Unit Coordinator,,2,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Accountant 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Accountant 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Accountant 3,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Accounting Technician,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Activities Coordinator,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Administrative Law Judge 1,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Administrative Law Judge 2,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Administrative Law Judge 3,,3,Strikeable,8870,9897,11065,1027,2195,106440,132780
Administrative Specialist 1,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Administrative Specialist 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Adult Protective Service Specialist,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Aerial Photographer,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Aircraft Pilot,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Appraiser Analyst 1,,3,Strikeable,3629,4036,4498,407,869,43548,53976
Appraiser Analyst 2,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Appraiser Analyst 3,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Appraiser Analyst 4,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
Apprenticeship Representative,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Automotive Fleet Attendant,,3,Strikeable,3095,3427,3784,332,689,37140,45408
Automotive Technician 1,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Automotive Technician 2,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Behavioral Health Specialist 1,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Behavioral Health Specialist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Behavioral Health Specialist 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Biological Science Assistant,,3,Strikeable,0,,,,,0,
Business & Employment Specialist 2,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Carpenter,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Certified Occupation Therapist Assistant,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Chaplain,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Chemist 1,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Chemist 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Chemist 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Child Nutrition Specialist,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Child Support Case Manager,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Child Support Case Manager Entry,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Child Support Specialist,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Civil Engineering Specialist 1,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Civil Rights Investigator 1,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Civil Rights Investigator 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Claims Representative 1,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Claims Representative 2,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Client Care Surveyor,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Clinical Laboratory Scientist,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Clinical Psychologist 1,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Clinical Psychologist 2,,3,Strikeable,8057,8999,10065,942,2008,96684,120780
Communicable Disease Analyst,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Community Outreach Specialist,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Compliance Specialist 1,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Compliance Specialist 2,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Compliance Specialist 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Construction Inspector,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Construction Project Manager 1,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Construction Project Manager 2,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Construction Project Manager 3,,3,Strikeable,6982,7803,8713,821,1731,83784,104556
Cook,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Custodial Services Coordinator,,3,Strikeable,3005,3427,3784,422,779,36060,45408
Custodian,,3,Strikeable,0,,,,,0,
Data Entry Control Technician,,3,Strikeable,0,,,,,0,
Data Entry Operator,,3,Strikeable,0,,,,,0,
Dental Assistant 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Dental Hygienist,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Dietitian 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Disability Analyst 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Disability Analyst 2,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
District Veterinarian,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
DOJ Claims Examiner,,3,Strikeable,4555,4851,5420,296,865,54660,65040
Dormitory Counselor 1,,3,Strikeable,3335,3709,4118,374,783,40020,49416
Dormitory Counselor 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Economist 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Economist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Economist 3,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Economist 4,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Education Program Specialist 1,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Education Program Specialist 2,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Electrician 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Electrician 3,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Electronic Publishing Design Specialist 1,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Electronic Publishing Design Specialist 2,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Electronic Publishing Design Specialist 3,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Electronic Security Technician 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Employment Adjudicator,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Employment Appeals Board Legal Staff,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Engineering Technician 2,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Engineering Technician 3,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Environmental Engineer 2,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Environmental Engineer 3,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Environmental Health Specialist 3,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Epidemiologist 1,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Epidemiologist 2,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Epidemiologist 3,,3,Strikeable,6982,7803,8713,821,1731,83784,104556
Equipment Operator,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Executive Assistant,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Executive Support Specialist 1,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Executive Support Specialist 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Facilities Engineer 1,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Facilities Engineer 3,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Facility Energy Technician 2,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Facility Energy Technician 3,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Facility Energy Technician 4,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Facility Maintenance Specialist,,3,Strikeable,3629,4036,4498,407,869,43548,53976
Facility Operations Specialist 1,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Facility Operations Specialist 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Financial Enforcement Officer,,3,Strikeable,6982,7803,8713,821,1731,83784,104556
Financial Examiner 1,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Financial Examiner 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Financial Examiner 3,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Financial Investigator 1,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Fiscal Analyst 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Fiscal Analyst 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Fiscal Analyst 3,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Fiscal Auditor 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Fish and Wildlife Technical Coordinator,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Fish and Wildlife Technician,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Fish and Wildlife Technician Entry,,3,Strikeable,3005,3296,3652,291,647,36060,43824
Fish and Wildlife Technician Senior,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Food Service Worker,,3,Strikeable,3005,3552,3952,547,947,36060,47424
Forest Crew Coordinator,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Forest Lookout,,3,Strikeable,0,,,,,0,
Forest Management Technician,,3,Strikeable,3335,3709,4118,374,783,40020,49416
Forest Officer,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Geologist 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Governmental Auditor 1,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Governmental Auditor 2,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Governmental Auditor 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Grounds Maintenance Worker 1,,3,Strikeable,3095,3427,3784,332,689,37140,45408
Grounds Maintenance Worker 2,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Group Life Coordinator 1,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Group Life Coordinator 2,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Hairdresser,,3,Strikeable,0,,,,,0,
Health Care Investigator/Advisor,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Health Information Specialist,,3,Strikeable,3629,4036,4498,407,869,43548,53976
Heavy Equipment Technician 1,,3,Strikeable,0,,,,,0,
Heavy Equipment Technician 2,,3,Strikeable,0,,,,,0,
Human Services Assistant 2,,3,Strikeable,3335,3709,4118,374,783,40020,49416
Human Services Case Manager,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Human Services Specialist 1,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Human Services Specialist 2,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Human Services Specialist 3,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Human Services Specialist 4,,3,Strikeable,4356,4851,5420,495,1064,52272,65040
Incident Response Operations Specialist,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Industrial Hygienist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Industrial Hygienist 3,,3,Strikeable,6051,6763,7562,712,1511,72612,90744
Industrial Hygienist 4,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
Information Systems Specialist 2,,3,Strikeable,4201,4681,5223,480,1022,50412,62676
Information Systems Specialist 3,,3,Strikeable,4814,5361,5986,547,1172,57768,71832
Information Systems Specialist 4,,3,Strikeable,5214,5817,6490,603,1276,62568,77880
Information Systems Specialist 5,,3,Strikeable,5825,6495,7249,670,1424,69900,86988
Information Systems Specialist 6,,3,Strikeable,6230,6947,7753,717,1523,74760,93036
Information Systems Specialist 7,,3,Strikeable,6898,7692,8584,794,1686,82776,103008
Information Systems Specialist 8,,3,Strikeable,7518,8386,9355,868,1837,90216,112260
Institution Registered Nurse,,3,Strikeable,7410,8269,9226,859,1816,88920,110712
Insurance Examiner,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Insurance Examiner Entry,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Investigator 1,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Investigator 2,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Investigator 3,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Investment Analyst 1,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Investment Analyst 2,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Investment Analyst 3,,3,Strikeable,7327,8177,9143,850,1816,87924,109716
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Laboratory Technician 2,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Laborer/Student Worker,,3,Strikeable,0,,,,,0,
Legal Secretary,,3,Strikeable,3629,4036,4498,407,869,43548,53976
Librarian,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Licensed Practical Nurse,,3,Strikeable,4558,5067,5653,509,1095,54696,67836
Livestock Brand Inspector,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Loan Specialist 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Loan Specialist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Loan Specialist 3,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Machinist,,3,Strikeable,5256,5861,6549,605,1293,63072,78588
Mail Delivery Driver,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Mail Equipment Operator 1,,3,Strikeable,0,,,,,0,
Mail Equipment Operator 2,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Mail Services Assistant,,3,Strikeable,3005,3427,3784,422,779,36060,45408
Manual Arts Instructor,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Medical Consultant,,3,Strikeable,9751,10908,12187,1157,2436,117012,146244
Medical Laboratory Technician 1,,3,Strikeable,3629,4036,4498,407,869,43548,53976
Medical Laboratory Technician 2,,3,Strikeable,3964,4425,4943,461,979,47568,59316
Medical Review Coordinator,,3,Strikeable,7410,8269,9226,859,1816,88920,110712
Mental Health Security Technician,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Mental Health Therapist 1,,3,Strikeable,3483,3865,4301,382,818,41796,51612
Mental Health Therapist 2,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Mental Health Therapy Coordinator,,3,Strikeable,3790,4222,4715,432,925,45480,56580
Mental Health Therapy Technician,,3,Strikeable,3218,3552,3952,334,734,38616,47424
Microbiologist 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Microbiologist 2,,3,Strikeable,5019,5598,6245,579,1226,60228,74940
Microbiologist 3,,3,Strikeable,5771,6444,7206,673,1435,69252,86472
Motor Carrier Enforcement Officer 1,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Motor Carrier Enforcement Officer 2,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Natural Resource Specialist 1,,3,Strikeable,4155,4639,5169,484,1014,49860,62028
Natural Resource Specialist 2,,3,Strikeable,4776,5345,5964,569,1188,57312,71568
Natural Resource Specialist 3 pay option A ,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Natural Resource Specialist 3 pay option B Hydrogeologist,,3,Strikeable,5771,6444,7207,673,1436,69252,86484
Natural Resource Specialist 3 pay option D Hydrogeologist,,3,Strikeable,5771,6444,7207,673,1436,69252,86484
Natural Resource Specialist 4 pay option A,,3,Strikeable,6350,7097,7923,747,1573,76200,95076
Natural Resource Specialist 4 pay option B Hydrogeologist,,3,Strikeable,6664,7436,8314,772,1650,79968,99768
