Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Electrician 2,4008,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Electrician 3,4009,3,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Electronic Publishing Design Specialist 1,3510,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Electronic Publishing Design Specialist 2,3511,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Electronic Publishing Design Specialist 3,3513,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Electronic Security Technician 2,4051,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Employment Adjudicator,6693,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Employment Appeals Board Legal Staff,1543,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Engineering Technician 2,3110,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Engineering Technician 3,3111,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Environmental Engineer 2,3411,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Environmental Engineer 3,3413,3,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Environmental Health Specialist 3,3819,3,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Epidemiologist 1,6316,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Epidemiologist 2,6317,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Epidemiologist 3,6318,3,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Equipment Operator,4433,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Executive Assistant,830,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Executive Support Specialist 1,118,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Executive Support Specialist 2,119,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Facilities Engineer 1,3351,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Facilities Engineer 3,3353,3,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Facility Energy Technician 2,4033,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Facility Energy Technician 3,4034,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Facility Energy Technician 4,4035,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Facility Maintenance Specialist,4013,3,3629,4044,4510,415,881,"$10,451 ",43548,54120
Facility Operations Specialist 1,4014,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Facility Operations Specialist 2,4015,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Financial Enforcement Officer,1547,3,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Financial Examiner 1,5675,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Financial Examiner 2,5676,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Financial Examiner 3,5677,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Financial Investigator 1,5335,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Fiscal Analyst 1,1343,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Fiscal Analyst 2,1344,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Fiscal Analyst 3,1345,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Fiscal Auditor 1,5641,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Fish and Wildlife Technical Coordinator,8346,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Fish and Wildlife Technician,8341,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Fish and Wildlife Technician,8341,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Fish and Wildlife Technician Entry,8340,3,3005,3330,3691,325,686,"$8,912 ",36060,44292
Fish and Wildlife Technician Senior,8343,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Food Service Worker,9103,3,3005,3604,3995,599,990,"$8,912 ",36060,47940
Food Service Worker,9103,3,3005,3604,3995,599,990,"$8,912 ",36060,47940
Forest Crew Coordinator,8318,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Forest Lookout,8353,3,0,,,,,"$1,500 ",0,
Forest Management Technician,8311,3,3335,3708,4124,373,789,"$9,726 ",40020,49488
Forest Officer,8357,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Geologist 2,3531,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Governmental Auditor 1,5646,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Governmental Auditor 2,5647,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Governmental Auditor 3,5648,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Grounds Maintenance Worker 1,4109,3,3095,3432,3809,337,714,"$9,134 ",37140,45708
Grounds Maintenance Worker 2,4110,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Grounds Maintenance Worker 2,4110,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Group Life Coordinator 1,6750,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Group Life Coordinator 2,6751,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Hairdresser,9300,3,0,,,,,"$1,500 ",0,
Health Care Investigator/Advisor,5911,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Health Information Specialist,15,3,3629,4044,4510,415,881,"$10,451 ",43548,54120
Heavy Equipment Technician 1,4437,3,0,,,,,"$1,500 ",0,
Heavy Equipment Technician 2,4438,3,0,,,,,"$1,500 ",0,
Human Services Assistant 2,6606,3,3335,3708,4124,373,789,"$9,726 ",40020,49488
Human Services Case Manager,6630,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Human Services Specialist 1,6657,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Human Services Specialist 2,6658,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Human Services Specialist 3,6659,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Human Services Specialist 4,6660,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Incident Response Operations Specialist,4165,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Industrial Hygienist 2,5706,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Industrial Hygienist 3,5707,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Industrial Hygienist 4,5708,3,6664,7444,8318,780,1654,"$17,936 ",79968,99816
Information Systems Specialist 2,1483,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Information Systems Specialist 3,1483,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Information Systems Specialist 4,1484,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Information Systems Specialist 5,1485,3,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Information Systems Specialist 6,1486,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Information Systems Specialist 7,1487,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Information Systems Specialist 8,1488,3,6664,7444,8318,780,1654,"$17,936 ",79968,99816
Institution Registered Nurse,6314,3,7410,8266,9226,856,1816,"$19,776 ",88920,110712
Insurance Examiner,5748,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Insurance Examiner Entry,5747,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Investigator 1,5331,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Investigator 2,5333,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Investigator 3,5333,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Investment Analyst 1,1333,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Investment Analyst 2,1333,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Investment Analyst 3,1334,3,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Laboratory Technician 2,6811,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Laborer/Student Worker,4116,3,0,,,,,"$1,500 ",0,
Legal Secretary,110,3,3629,4044,4510,415,881,"$10,451 ",43548,54120
Librarian,3330,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Licensed Practical Nurse,6135,3,4558,5087,5680,529,1122,"$12,742 ",54696,68160
Livestock Brand Inspector,5430,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Loan Specialist 1,1001,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Loan Specialist 2,1003,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Loan Specialist 3,1003,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Machinist,4018,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Mail Delivery Driver,4404,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Mail Equipment Operator 1,403,3,0,,,,,"$1,500 ",0,
Mail Equipment Operator 2,404,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Mail Services Assistant,405,3,3005,3464,3840,459,835,"$8,912 ",36060,46080
Manual Arts Instructor,3304,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Medical Consultant,7538,3,9751,10895,12180,1144,2429,"$25,550 ",117012,146160
Medical Laboratory Technician 1,6830,3,3629,4044,4510,415,881,"$10,451 ",43548,54120
Medical Laboratory Technician 2,6831,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Medical Review Coordinator,6310,3,7410,8266,9226,856,1816,"$19,776 ",88920,110712
Mental Health Security Technician,6708,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Mental Health Therapist 1,6711,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Mental Health Therapist 2,6713,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Mental Health Therapy Coordinator,6718,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Mental Health Therapy Technician,6710,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Mental Health Therapy Technician,6710,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Microbiologist 1,3779,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Microbiologist 2,3780,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Microbiologist 3,3781,3,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Motor Carrier Enforcement Officer 1,5857,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Motor Carrier Enforcement Officer 2,5858,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Natural Resource Specialist 1,8501,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Natural Resource Specialist 2,8503,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Natural Resource Specialist 3,8503,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Natural Resource Specialist 4,8504,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Natural Resource Specialist 5,8505,3,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Nutrition Consultant,5955,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Occupational Safety Specialist 1,5709,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Occupational Safety Specialist 2,5710,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Occupational Safety Specialist 3,5711,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Occupational Therapist,6508,3,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Office Assistant 1,101,3,0,,,,,"$1,500 ",0,
Office Assistant 2,103,3,0,,,,,"$1,500 ",0,
Office Coordinator,801,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Office Specialist 1,103,3,3005,3464,3840,459,835,"$8,912 ",36060,46080
Office Specialist 2,104,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Operations & Policy Analyst 1,870,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Operations & Policy Analyst 2,871,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Operations & Policy Analyst 3,873,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Operations & Policy Analyst 4,873,3,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Painter,4001,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Paralegal,1534,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Park Ranger 1,8434,3,3629,4044,4509,415,880,"$10,451 ",43548,54108
Park Ranger 2,8435,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Park Ranger 3,8436,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Park Ranger Assistant,8433,3,0,,,,,"$1,500 ",0,
Park Specialist,8445,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Parking Services Representative,5550,3,3095,3432,3809,337,714,"$9,134 ",37140,45708
Parts Specialist 2,783,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Payroll Analyst,314,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Pharmacist,6360,3,9751,10895,12180,1144,2429,"$25,550 ",117012,146160
Pharmacist 2,6363,3,10740,12003,13420,1263,2680,"$27,989 ",128880,161040
Pharmacist Resident,6361,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Pharmacy Clerk & Technician 2,6388,3,3335,3708,4124,373,789,"$9,726 ",40020,49488
Pharmacy Clerk & Technician 3,6389,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Physical Therapist,6503,3,6664,7444,8318,780,1654,"$17,936 ",79968,99816
Physical/Electronic Security Technician,4037,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Physical/Electronic Security Technician 3,4039,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Physician's Assistant,6357,3,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Planner 2,1097,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Plumber,4005,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Preadmissions Screening Specialist,6684,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Print Services Technician,3446,3,3335,3708,4124,373,789,"$9,726 ",40020,49488
Printing Production Coordinator,3475,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Procurement & Contract Specialist 1,436,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Procurement & Contract Specialist 2,437,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Procurement & Contract Specialist 3,438,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Procurement And Contract Assistant,435,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Program Analyst 1,860,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Program Analyst 2,861,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Program Analyst 3,863,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Program Analyst 4,863,3,6664,7444,8318,780,1654,"$17,936 ",79968,99816
Project Manager 1,854,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Project Manager 2,855,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Project Manager 3,856,3,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Psychiatric Social Worker,6730,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Public Affairs Specialist 1,864,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Public Affairs Specialist 2,865,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Public Affairs Specialist 3,866,3,6664,7444,8318,780,1654,"$17,936 ",79968,99816
Public Health Educator 1,3337,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Public Health Educator 2,3338,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Public Health Nurse 2,6339,3,7410,8266,9226,856,1816,"$19,776 ",88920,110712
Public Health Toxicologist 1,3433,3,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Public Service Representative 2,333,3,3005,3464,3840,459,835,"$8,912 ",36060,46080
Public Service Representative 3,333,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Public Service Representative 4,334,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Radiologic Technologist,6348,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Rehabilitation Instructor For The Blind,3333,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Rehabilitation Instructor For The Blind (Entry),3333,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Rehabilitation Therapist,6531,3,4776,5332,5957,556,1181,"$13,280 ",57312,71484
Research Analyst 1,1115,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Research Analyst 2,1116,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Research Analyst 3,1117,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Research Analyst 4,1118,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Retirement Counselor 1,841,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Retirement Counselor 2,843,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Revenue Agent 1,5110,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Revenue Agent 2,5111,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Revenue Agent 3,5113,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Safety Specialist 1,1345,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Safety Specialist 2,1346,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Scientific Instrument Technician,4339,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Seamster,9301,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Securities Examiner,5671,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Shipping Point Inspector 1,5450,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Shipping Point Inspector 2,5451,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Sign Technician 1,4131,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Social Service Assistant,6609,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Social Service Specialist 1,6613,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Social Services Specialist 2,6613,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
State Library Specialist 1,351,3,0,,,,,"$1,500 ",0,
State Library Specialist 2,353,3,3629,4044,4510,415,881,"$10,451 ",43548,54120
State Procurement Analyst,770,3,6350,7094,7928,744,1578,"$17,162 ",76200,95136
Student Office Worker,100,3,0,4036,4301,4036,4301,"$1,500 ",0,51612
Supply Specialist 1,758,3,3095,3432,3809,337,714,"$9,134 ",37140,45708
Supply Specialist 2,759,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Tax Auditor 1,5631,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Tax Auditor 2,5633,3,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Tax Auditor/Entry,5630,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Teaching Assistant,3303,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Traffic Survey Interviewer,1105,3,0,,,,,"$1,500 ",0,
Training & Development Specialist 1,1338,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Training & Development Specialist 2,1339,3,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Transportation Maintenance Coordinator 1,4161,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Transportation Maintenance Coordinator 2,4163,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Transportation Maintenance Specialist 1,4151,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Transportation Maintenance Specialist 2,4153,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Transportation Maintenance Specialist Entry,4150,3,0,,,,,"$1,500 ",0,
Transportation Services Office Leader,333,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Transportation Services Representative 1,331,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Transportation Services Representative 2,333,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Transportation Telecommunications Specialist 1,4166,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Transportation Telecommunications Specialist 2,4167,3,4356,4862,5430,506,1074,"$12,244 ",52272,65160
Transporter,4403,3,0,,,,,"$1,500 ",0,
Transporting Mental Health Aide,6101,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Truck Driver 1,4401,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Truck Driver 2,4403,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Veterans Service Officer,799,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Veterans Trust Officer,784,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Video Producer,3176,3,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Vocational Rehabilitation Counselor,6647,3,5019,5605,6262,586,1243,"$13,879 ",60228,75144
Vocational Rehabilitation Counselor Entry,6646,3,3964,4422,4934,458,970,"$11,277 ",47568,59208
Vocational Rehabilitation Specialist,6648,3,5256,5870,6559,614,1303,"$14,464 ",63072,78708
Water Resource Data Technician 1,8510,3,3790,4225,4713,435,923,"$10,848 ",45480,56556
Water Resource Data Technician 2,8511,3,4155,4637,5177,482,1022,"$11,748 ",49860,62124
Wildland Fire Dispatcher,8364,3,3218,3572,3966,354,748,"$9,437 ",38616,47592
Wildland Fire Dispatcher Entry,8363,3,0,,,,,"$1,500 ",0,
Wildland Fire Suppression Specialist,8355,3,3483,3876,4315,393,832,"$10,091 ",41796,51780
Wildland Fire Suppression Specialist Entry,8354,3,3005,3330,3691,325,686,"$8,912 ",36060,44292
Word Processing Technician 2,531,3,3095,3432,3809,337,714,"$9,134 ",37140,45708
Word Processing Technician 3,533,3,3335,3708,4124,373,789,"$9,726 ",40020,49488
Youth Corrections Unit Coordinator,6755,3,4555,5085,5680,530,1125,"$12,735 ",54660,68160
Accountant 1,1316,4,4776,5332,5955,556,1179,"$13,280 ",57312,71460
Accountant 2,1317,4,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Accountant 3,1318,4,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Accounting Technician,313,4,3964,4419,4929,455,965,"$11,277 ",47568,59148
Activities Coordinator,6530,4,3964,4419,4929,455,965,"$11,277 ",47568,59148
Administrative Law Judge 1,1510,4,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Administrative Law Judge 2,1511,4,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Administrative Law Judge 3,1513,4,9293,10383,11607,1090,2314,"$24,420 ",111516,139284
Administrative Specialist 1,107,4,3629,4038,4496,409,867,"$10,451 ",43548,53952
Administrative Specialist 2,108,4,4155,4635,5172,480,1017,"$11,748 ",49860,62064
Adult Protective Service Specialist,6616,4,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Aerial Photographer,3540,4,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Aircraft Pilot,8333,4,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Appraiser Analyst 1,735,4,3790,4224,4710,434,920,"$10,848 ",45480,56520
Appraiser Analyst 2,736,4,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Appraiser Analyst 3,737,4,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Appraiser Analyst 4,738,4,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Apprenticeship Representative,4380,4,4776,5332,5955,556,1179,"$13,280 ",57312,71460
Automotive Fleet Attendant,4417,4,3218,3569,3960,351,742,"$9,437 ",38616,47520
Automotive Technician 1,4418,4,3964,4419,4929,455,965,"$11,277 ",47568,59148
Automotive Technician 2,4419,4,4776,5332,5955,556,1179,"$13,280 ",57312,71460
Behavioral Health Specialist 1,6531,4,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Behavioral Health Specialist 2,6534,4,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Behavioral Health Specialist 3,6535,4,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Biological Science Assistant,3769,4,3005,3458,3830,453,825,"$8,912 ",36060,45960
Business & Employment Specialist 2,6699,4,4356,4861,5427,505,1071,"$12,244 ",52272,65124
Carpenter,4003,4,4555,5085,5678,530,1123,"$12,735 ",54660,68136
Certified Occupation Therapist Assistant,6506,4,4155,4635,5172,480,1017,"$11,748 ",49860,62064
Chaplain,6680,4,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Chemist 1,3715,4,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Chemist 2,3716,4,5503,6146,6868,643,1365,"$15,073 ",66036,82416
Chemist 3,3717,4,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Child Nutrition Specialist,5950,4,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Child Support Case Manager,5139,4,4356,4861,5427,505,1071,"$12,244 ",52272,65124
Child Support Case Manager Entry,5138,4,3964,4419,4929,455,965,"$11,277 ",47568,59148
Child Support Specialist,5133,4,4776,5332,5955,556,1179,"$13,280 ",57312,71460
Civil Engineering Specialist 1,3136,4,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Civil Rights Investigator 1,5340,4,4356,4861,5427,505,1071,"$12,244 ",52272,65124
Civil Rights Investigator 2,5341,4,5503,6146,6868,643,1365,"$15,073 ",66036,82416
Claims Representative 1,5307,4,4555,5085,5678,530,1123,"$12,735 ",54660,68136
Claims Representative 2,5308,4,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Client Care Surveyor,6685,4,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Clinical Laboratory Scientist,6833,4,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Clinical Psychologist 1,6394,4,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Clinical Psychologist 2,6395,4,8450,9440,10551,990,2101,"$22,341 ",101400,126612
Communicable Disease Analyst,5903,4,4555,5085,5678,530,1123,"$12,735 ",54660,68136
Community Outreach Specialist,6614,4,5503,6146,6868,643,1365,"$15,073 ",66036,82416
Compliance Specialist 1,5346,4,4356,4861,5427,505,1071,"$12,244 ",52272,65124
Compliance Specialist 2,5347,4,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Compliance Specialist 3,5348,4,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Construction Inspector,3365,4,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Construction Project Manager 1,3367,4,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Construction Project Manager 2,3368,4,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Construction Project Manager 3,3369,4,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Cook,9117,4,3629,4038,4496,409,867,"$10,451 ",43548,53952
Custodial Services Coordinator,4103,4,3095,3429,3801,334,706,"$9,134 ",37140,45612
Custodian,4101,4,0,,,,,"$1,500 ",0,
Data Entry Control Technician,1475,4,3005,3458,3830,453,825,"$8,912 ",36060,45960
Data Entry Operator,501,4,3005,3458,3830,453,825,"$8,912 ",36060,45960
Dental Assistant 2,6394,4,4155,4635,5172,480,1017,"$11,748 ",49860,62064
Dental Hygienist,6396,4,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Dietitian 2,6371,4,5503,6146,6868,643,1365,"$15,073 ",66036,82416
Disability Analyst 1,5936,4,4776,5332,5955,556,1179,"$13,280 ",57312,71460
Disability Analyst 2,5937,4,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Disability Analyst 2,5937,4,5256,5870,6558,614,1302,"$14,464 ",63072,78696
District Veterinarian,6440,4,6350,7093,7926,743,1576,"$17,162 ",76200,95112
DOJ Claims Examiner,5933,4,4555,5085,5678,530,1123,"$12,735 ",54660,68136
Dormitory Counselor 1,6767,4,3483,3872,4307,389,824,"$10,091 ",41796,51684
Dormitory Counselor 2,6768,4,4155,4635,5172,480,1017,"$11,748 ",49860,62064
Economist 1,1161,4,4776,5332,5955,556,1179,"$13,280 ",57312,71460
Economist 2,1163,4,5771,6443,7198,672,1427,"$15,734 ",69252,86376
