Position,Classification code,Current Step,current_monthly,monthly_pay_at_contract_end,difference in monthly pay,pct_change,Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract,Difference in annual pay
Electronic Publishing Design Specialist 1,3510,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Electronic Publishing Design Specialist 1,3510,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Electronic Publishing Design Specialist 1,3510,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Electronic Publishing Design Specialist 1,3510,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Electronic Publishing Design Specialist 2,3511,1,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Electronic Publishing Design Specialist 2,3511,2,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Electronic Publishing Design Specialist 2,3511,3,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Electronic Publishing Design Specialist 2,3511,4,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Electronic Publishing Design Specialist 2,3511,5,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Electronic Publishing Design Specialist 2,3511,6,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Electronic Publishing Design Specialist 2,3511,7,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Electronic Publishing Design Specialist 2,3511,8,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Electronic Publishing Design Specialist 2,3511,9,5771,6856,1085,18.80%,"$15,734 ","$69,252 ","$82,272 ","$13,020 "
Electronic Publishing Design Specialist 2,3511,10,6051,6866,815,13.47%,"$16,424 ","$72,612 ","$82,392 ","$9,780 "
Electronic Publishing Design Specialist 3,3513,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Electronic Publishing Design Specialist 3,3513,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Electronic Publishing Design Specialist 3,3513,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Electronic Publishing Design Specialist 3,3513,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Electronic Publishing Design Specialist 3,3513,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Electronic Publishing Design Specialist 3,3513,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Electronic Publishing Design Specialist 3,3513,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Electronic Publishing Design Specialist 3,3513,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Electronic Publishing Design Specialist 3,3513,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Electronic Publishing Design Specialist 3,3513,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Electronic Security Technician 2,4051,1,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Electronic Security Technician 2,4051,2,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Electronic Security Technician 2,4051,3,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Electronic Security Technician 2,4051,4,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Electronic Security Technician 2,4051,5,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Electronic Security Technician 2,4051,6,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Electronic Security Technician 2,4051,7,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Electronic Security Technician 2,4051,8,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Electronic Security Technician 2,4051,9,6982,8295,1313,18.81%,"$18,721 ","$83,784 ","$99,540 ","$15,756 "
Electronic Security Technician 2,4051,10,7327,8314,987,13.47%,"$19,571 ","$87,924 ","$99,768 ","$11,844 "
Employment Adjudicator,6693,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Employment Adjudicator,6693,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Employment Adjudicator,6693,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Employment Adjudicator,6693,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Employment Adjudicator,6693,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Employment Adjudicator,6693,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Employment Adjudicator,6693,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Employment Adjudicator,6693,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Employment Adjudicator,6693,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Employment Adjudicator,6693,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Employment Appeals Board Legal Staff,1543,1,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Employment Appeals Board Legal Staff,1543,2,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Employment Appeals Board Legal Staff,1543,3,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Employment Appeals Board Legal Staff,1543,4,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Employment Appeals Board Legal Staff,1543,5,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Employment Appeals Board Legal Staff,1543,6,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Employment Appeals Board Legal Staff,1543,7,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Employment Appeals Board Legal Staff,1543,8,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Employment Appeals Board Legal Staff,1543,9,8057,9572,1515,18.80%,"$21,372 ","$96,684 ","$114,864 ","$18,180 "
Employment Appeals Board Legal Staff,1543,10,8450,9588,1138,13.47%,"$22,341 ","$101,400 ","$115,056 ","$13,656 "
Engineering Technician 2,3110,1,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Engineering Technician 2,3110,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Engineering Technician 2,3110,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Engineering Technician 2,3110,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Engineering Technician 2,3110,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Engineering Technician 2,3110,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Engineering Technician 2,3110,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Engineering Technician 2,3110,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Engineering Technician 2,3110,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Engineering Technician 2,3110,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Engineering Technician 3,3111,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Engineering Technician 3,3111,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Engineering Technician 3,3111,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Engineering Technician 3,3111,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Engineering Technician 3,3111,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Engineering Technician 3,3111,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Engineering Technician 3,3111,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Engineering Technician 3,3111,8,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Engineering Technician 3,3111,9,5503,6538,1035,18.81%,"$15,073 ","$66,036 ","$78,456 ","$12,420 "
Engineering Technician 3,3111,10,5771,6548,777,13.46%,"$15,734 ","$69,252 ","$78,576 ","$9,324 "
Environmental Engineer 2,3411,1,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Environmental Engineer 2,3411,2,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Environmental Engineer 2,3411,3,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Environmental Engineer 2,3411,4,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Environmental Engineer 2,3411,5,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Environmental Engineer 2,3411,6,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Environmental Engineer 2,3411,7,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Environmental Engineer 2,3411,8,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Environmental Engineer 2,3411,9,8450,10039,1589,18.80%,"$22,341 ","$101,400 ","$120,468 ","$19,068 "
Environmental Engineer 2,3411,10,8870,10065,1195,13.47%,"$23,377 ","$106,440 ","$120,780 ","$14,340 "
Environmental Engineer 3,3413,1,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Environmental Engineer 3,3413,2,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Environmental Engineer 3,3413,3,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Environmental Engineer 3,3413,4,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Environmental Engineer 3,3413,5,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Environmental Engineer 3,3413,6,8450,10511,2061,24.39%,"$22,341 ","$101,400 ","$126,132 ","$24,732 "
Environmental Engineer 3,3413,7,8870,11033,2163,24.39%,"$23,377 ","$106,440 ","$132,396 ","$25,956 "
Environmental Engineer 3,3413,8,9293,11559,2266,24.38%,"$24,420 ","$111,516 ","$138,708 ","$27,192 "
Environmental Engineer 3,3413,9,9751,11585,1834,18.81%,"$25,550 ","$117,012 ","$139,020 ","$22,008 "
Environmental Engineer 3,3413,10,10242,11622,1380,13.47%,"$26,761 ","$122,904 ","$139,464 ","$16,560 "
Environmental Health Specialist 3,3819,1,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Environmental Health Specialist 3,3819,2,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Environmental Health Specialist 3,3819,3,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Environmental Health Specialist 3,3819,4,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Environmental Health Specialist 3,3819,5,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Environmental Health Specialist 3,3819,6,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Environmental Health Specialist 3,3819,7,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Environmental Health Specialist 3,3819,8,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Environmental Health Specialist 3,3819,9,7678,9122,1444,18.81%,"$20,437 ","$92,136 ","$109,464 ","$17,328 "
Environmental Health Specialist 3,3819,10,8057,9142,1085,13.47%,"$21,372 ","$96,684 ","$109,704 ","$13,020 "
Epidemiologist 1,6316,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Epidemiologist 1,6316,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Epidemiologist 1,6316,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Epidemiologist 1,6316,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Epidemiologist 1,6316,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Epidemiologist 1,6316,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Epidemiologist 1,6316,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Epidemiologist 1,6316,8,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Epidemiologist 1,6316,9,7327,8705,1378,18.81%,"$19,571 ","$87,924 ","$104,460 ","$16,536 "
Epidemiologist 1,6316,10,7678,8712,1034,13.47%,"$20,437 ","$92,136 ","$104,544 ","$12,408 "
Epidemiologist 2,6317,1,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Epidemiologist 2,6317,2,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Epidemiologist 2,6317,3,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Epidemiologist 2,6317,4,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Epidemiologist 2,6317,5,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Epidemiologist 2,6317,6,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Epidemiologist 2,6317,7,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Epidemiologist 2,6317,8,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Epidemiologist 2,6317,9,8450,10039,1589,18.80%,"$22,341 ","$101,400 ","$120,468 ","$19,068 "
Epidemiologist 2,6317,10,8870,10065,1195,13.47%,"$23,377 ","$106,440 ","$120,780 ","$14,340 "
Epidemiologist 3,6318,1,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Epidemiologist 3,6318,2,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Epidemiologist 3,6318,3,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Epidemiologist 3,6318,4,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Epidemiologist 3,6318,5,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Epidemiologist 3,6318,6,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Epidemiologist 3,6318,7,8450,10511,2061,24.39%,"$22,341 ","$101,400 ","$126,132 ","$24,732 "
Epidemiologist 3,6318,8,8870,11033,2163,24.39%,"$23,377 ","$106,440 ","$132,396 ","$25,956 "
Epidemiologist 3,6318,9,9293,11040,1747,18.80%,"$24,420 ","$111,516 ","$132,480 ","$20,964 "
Epidemiologist 3,6318,10,9751,11065,1314,13.48%,"$25,550 ","$117,012 ","$132,780 ","$15,768 "
Equipment Operator,4433,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Equipment Operator,4433,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Equipment Operator,4433,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Equipment Operator,4433,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Equipment Operator,4433,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Equipment Operator,4433,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Equipment Operator,4433,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Equipment Operator,4433,8,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Equipment Operator,4433,9,5503,6538,1035,18.81%,"$15,073 ","$66,036 ","$78,456 ","$12,420 "
Equipment Operator,4433,10,5771,6548,777,13.46%,"$15,734 ","$69,252 ","$78,576 ","$9,324 "
Executive Assistant,830,1,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Executive Assistant,830,2,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Executive Assistant,830,3,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Executive Assistant,830,4,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Executive Assistant,830,5,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Executive Assistant,830,6,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Executive Assistant,830,7,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Executive Assistant,830,8,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Executive Assistant,830,9,6664,7917,1253,18.80%,"$17,936 ","$79,968 ","$95,004 ","$15,036 "
Executive Assistant,830,10,6982,7922,940,13.46%,"$18,721 ","$83,784 ","$95,064 ","$11,280 "
Executive Support Specialist 1,118,1,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Executive Support Specialist 1,118,2,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Executive Support Specialist 1,118,3,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Executive Support Specialist 1,118,4,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Executive Support Specialist 1,118,5,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Executive Support Specialist 1,118,6,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Executive Support Specialist 1,118,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Executive Support Specialist 1,118,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Executive Support Specialist 1,118,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Executive Support Specialist 1,118,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Executive Support Specialist 2,119,1,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Executive Support Specialist 2,119,2,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Executive Support Specialist 2,119,3,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Executive Support Specialist 2,119,4,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Executive Support Specialist 2,119,5,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Executive Support Specialist 2,119,6,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Executive Support Specialist 2,119,7,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Executive Support Specialist 2,119,8,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Executive Support Specialist 2,119,9,5256,6244,988,18.80%,"$14,464 ","$63,072 ","$74,928 ","$11,856 "
Executive Support Specialist 2,119,10,5503,6244,741,13.47%,"$15,073 ","$66,036 ","$74,928 ","$8,892 "
Facilities Engineer 1,3351,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Facilities Engineer 1,3351,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Facilities Engineer 1,3351,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Facilities Engineer 1,3351,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Facilities Engineer 1,3351,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Facilities Engineer 1,3351,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Facilities Engineer 1,3351,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Facilities Engineer 1,3351,8,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Facilities Engineer 1,3351,9,7327,8705,1378,18.81%,"$19,571 ","$87,924 ","$104,460 ","$16,536 "
Facilities Engineer 1,3351,10,7678,8712,1034,13.47%,"$20,437 ","$92,136 ","$104,544 ","$12,408 "
Facilities Engineer 3,3353,1,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Facilities Engineer 3,3353,2,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Facilities Engineer 3,3353,3,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Facilities Engineer 3,3353,4,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Facilities Engineer 3,3353,5,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Facilities Engineer 3,3353,6,8450,10511,2061,24.39%,"$22,341 ","$101,400 ","$126,132 ","$24,732 "
Facilities Engineer 3,3353,7,8870,11033,2163,24.39%,"$23,377 ","$106,440 ","$132,396 ","$25,956 "
Facilities Engineer 3,3353,8,9293,11559,2266,24.38%,"$24,420 ","$111,516 ","$138,708 ","$27,192 "
Facilities Engineer 3,3353,9,9751,11585,1834,18.81%,"$25,550 ","$117,012 ","$139,020 ","$22,008 "
Facilities Engineer 3,3353,10,10242,11622,1380,13.47%,"$26,761 ","$122,904 ","$139,464 ","$16,560 "
Facility Energy Technician 2,4033,1,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Facility Energy Technician 2,4033,2,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Facility Energy Technician 2,4033,3,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Facility Energy Technician 2,4033,4,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Facility Energy Technician 2,4033,5,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Facility Energy Technician 2,4033,6,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Facility Energy Technician 2,4033,7,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Facility Energy Technician 2,4033,8,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Facility Energy Technician 2,4033,9,5771,6856,1085,18.80%,"$15,734 ","$69,252 ","$82,272 ","$13,020 "
Facility Energy Technician 2,4033,10,6051,6866,815,13.47%,"$16,424 ","$72,612 ","$82,392 ","$9,780 "
Facility Energy Technician 3,4034,1,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Facility Energy Technician 3,4034,2,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Facility Energy Technician 3,4034,3,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Facility Energy Technician 3,4034,4,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Facility Energy Technician 3,4034,5,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Facility Energy Technician 3,4034,6,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Facility Energy Technician 3,4034,7,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Facility Energy Technician 3,4034,8,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Facility Energy Technician 3,4034,9,6982,8295,1313,18.81%,"$18,721 ","$83,784 ","$99,540 ","$15,756 "
Facility Energy Technician 3,4034,10,7327,8314,987,13.47%,"$19,571 ","$87,924 ","$99,768 ","$11,844 "
Facility Energy Technician 4,4035,1,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Facility Energy Technician 4,4035,2,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Facility Energy Technician 4,4035,3,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Facility Energy Technician 4,4035,4,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Facility Energy Technician 4,4035,5,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Facility Energy Technician 4,4035,6,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Facility Energy Technician 4,4035,7,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Facility Energy Technician 4,4035,8,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Facility Energy Technician 4,4035,9,8057,9572,1515,18.80%,"$21,372 ","$96,684 ","$114,864 ","$18,180 "
Facility Energy Technician 4,4035,10,8450,9588,1138,13.47%,"$22,341 ","$101,400 ","$115,056 ","$13,656 "
Facility Maintenance Specialist,4013,1,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Facility Maintenance Specialist,4013,2,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Facility Maintenance Specialist,4013,3,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Facility Maintenance Specialist,4013,4,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Facility Maintenance Specialist,4013,5,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Facility Maintenance Specialist,4013,6,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Facility Maintenance Specialist,4013,7,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Facility Maintenance Specialist,4013,8,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Facility Maintenance Specialist,4013,9,4776,5674,898,18.80%,"$13,280 ","$57,312 ","$68,088 ","$10,776 "
